"external"	"data_type"	"year_"	"nestID"	"male_id"	"female_id"	"male_assigned"	"male_field"	"female_assigned"	"female_field"	"found_datetime"	"collected_datetime"	"last_checked_datetime"	"lat"	"lon"	"anyEPY"	"N_parentage"	"N_EPY"
0	"study_site"	2017	"R205_17"	270170272	270170172	2	1	2	0	"2017-06-25 16:45:00"	"2017-06-25 18:42:00"	"2017-07-15 16:30:00"	71.3221969604492	-156.626998901367	0	4	0
0	"study_site"	2018	"R205_18"	270170765	270170766	2	1	2	0	"2018-06-25 12:03:00"	"2018-06-25 15:23:00"	"2018-07-08 10:41:00"	71.312224	-156.659895	0	4	0
0	"study_site"	2019	"R205_19"	273145058	270170925	2	1	2	0	"2019-06-12 19:15:00"	"2019-06-15 17:13:00"	"2019-06-25 11:07:00"	71.323889	-156.631428	0	1	0
0	"study_site"	2017	"R206_17"	270170279	17206	2	1	3	0	"2017-06-27 13:05:00"	"2017-06-27 21:05:00"	"2017-07-05 10:39:00"	71.3228988647461	-156.63200378418	0	4	0
0	"study_site"	2018	"R206_18"	270170347	18206	2	1	3	0	"2018-06-25 16:44:00"	"2018-06-29 16:38:00"	"2018-07-17 11:20:00"	71.321181	-156.639629	1	4	1
0	"study_site"	2019	"R206_19"	273145072	270170901	2	1	2	0	"2019-06-12 19:58:00"	"2019-06-12 19:59:00"	"2019-06-25 09:36:00"	71.323379	-156.647513	0	3	0
0	"own_off_site"	2017	"R207_17"	270170396	270170278	2	1	2	0	"2017-07-13 00:02:00"	"2017-07-13 12:51:00"	"2017-07-17 11:52:00"	71.3200988769531	-156.630004882812	0	3	0
0	"study_site"	2018	"R207_18"	270170576	270170575	2	1	2	1	"2018-07-03 11:03:00"	"2018-07-04 11:51:00"	"2018-07-17 09:43:00"	71.322383	-156.650696	0	4	0
0	"study_site"	2019	"R207_19"	273145082	273145121	2	1	2	0	"2019-06-12 20:17:00"	"2019-06-14 16:33:00"	"2019-07-03 14:37:00"	71.322084	-156.657107	0	4	0
0	NA	2018	"R208_18"	270170719	NA	3	1	0	0	"2018-07-01 11:23:53"	NA	NA	71.255211	-156.644992	NA	NA	NA
0	"study_site"	2019	"R208_19"	270170852	273145144	2	1	2	0	"2019-06-15 17:30:00"	"2019-06-17 15:21:00"	"2019-07-05 10:18:00"	71.320709	-156.636531	0	4	0
0	"study_site"	2019	"R209_19"	273145124	273145125	2	1	2	0	"2019-06-14 13:01:00"	"2019-06-14 13:02:00"	"2019-06-23 11:00:00"	71.322106	-156.649644	0	1	0
0	"study_site"	2019	"R210_19"	270170554	270170564	2	1	2	0	"2019-06-14 13:32:00"	"2019-06-15 14:51:00"	"2019-06-28 15:40:00"	71.324145	-156.643246	0	4	0
0	"study_site"	2019	"R211_19"	273145037	273145036	2	1	2	0	"2019-06-14 16:17:00"	"2019-06-15 19:21:00"	"2019-06-18 11:46:01"	71.320696	-156.674958	0	3	0
0	"study_site"	2019	"R212_19"	273145054	273145055	2	1	2	0	"2019-06-16 12:50:00"	"2019-06-16 12:51:00"	"2019-07-01 10:32:00"	71.324872	-156.6426	1	4	1
0	"study_site"	2019	"R213_19"	273145071	273145070	2	1	2	0	"2019-06-16 13:12:00"	"2019-06-18 16:43:00"	"2019-07-06 17:29:00"	71.325966	-156.639203	0	4	0
0	"study_site"	2019	"R214_19"	273145086	273145147	2	1	2	0	"2019-06-16 14:30:00"	"2019-06-18 16:00:00"	"2019-07-06 13:40:00"	71.319628	-156.647052	0	3	0
0	"study_site"	2019	"R215_19"	270170838	270170916	2	1	2	0	"2019-06-16 14:52:00"	"2019-06-18 15:32:00"	"2019-06-28 13:03:00"	71.317189	-156.653916	0	3	0
0	"study_site"	2019	"R216_19"	273145145	270170864	2	1	2	0	"2019-06-16 15:32:00"	"2019-06-16 16:27:00"	"2019-06-25 14:35:00"	71.313235	-156.662221	0	4	0
0	"study_site"	2019	"R217_19"	270170830	273145036	2	1	2	0	"2019-06-16 16:12:00"	"2019-06-18 11:31:00"	"2019-07-03 15:09:00"	71.321848	-156.672965	0	2	0
0	"study_site"	2019	"R218_19"	273145126	270170942	2	1	2	0	"2019-06-17 12:30:00"	"2019-06-21 15:10:00"	"2019-06-29 13:05:00"	71.3212	-156.660892	0	4	0
0	"own_off_site"	2019	"R219_19"	270170931	273145116	2	1	2	0	"2019-06-18 15:09:00"	"2019-06-19 17:09:00"	"2019-07-01 13:11:00"	71.31976	-156.604245	0	4	0
0	"study_site"	2019	"R220_19"	270170914	273145109	2	1	2	0	"2019-06-18 16:21:00"	"2019-06-18 16:22:00"	"2019-07-01 11:05:00"	71.326083	-156.64142	1	4	1
0	"study_site"	2019	"R221_19"	270170929	273145131	2	1	2	0	"2019-06-18 16:29:00"	"2019-06-18 16:30:00"	"2019-07-21 14:15:00"	71.326923	-156.641617	1	4	1
0	"own_off_site"	2019	"R222_19"	273145068	19222	2	1	3	0	"2019-06-19 16:00:00"	"2019-06-19 16:01:00"	"2019-07-05 14:43:00"	71.315322	-156.633265	1	4	1
0	"own_off_site"	2019	"R223_19"	273145113	19223	2	1	3	0	"2019-06-19 16:23:00"	"2019-06-22 16:22:00"	"2019-06-28 15:03:00"	71.31846	-156.630861	1	4	1
0	"own_off_site"	2019	"R224_19"	273145065	270170834	2	1	2	0	"2019-06-19 16:46:00"	"2019-06-22 17:03:00"	"2019-06-29 10:07:00"	71.320306	-156.618736	0	1	0
0	"study_site"	2019	"R225_19"	273145081	273145080	2	1	2	0	"2019-06-21 14:13:00"	"2019-06-21 14:14:00"	"2019-07-05 22:17:00"	71.318561	-156.651464	0	4	0
0	"study_site"	2019	"R226_19"	270170932	NA	1	1	0	0	"2019-06-23 12:17:00"	NA	"2019-06-23 12:19:00"	71.318839	-156.669684	NA	NA	NA
0	"study_site"	2019	"R227_19"	273145122	273145123	2	1	2	0	"2019-06-23 16:53:00"	"2019-06-23 19:45:00"	"2019-07-08 14:37:00"	71.322129	-156.655821	0	4	0
0	"study_site"	2019	"R228_19"	273145151	273145152	2	1	2	0	"2019-06-25 11:45:00"	"2019-06-25 19:10:00"	"2019-07-08 16:36:00"	71.3218	-156.665697	1	4	1
0	"study_site"	2019	"R229_19"	273145091	273145098	2	1	2	0	"2019-06-25 13:24:00"	"2019-06-25 13:25:00"	"2019-07-11 11:40:00"	71.317392	-156.65207	0	4	0
0	"study_site"	2019	"R230_19"	273145240	273145241	2	1	2	0	"2019-07-05 14:44:00"	"2019-07-05 14:45:00"	"2019-07-10 14:03:00"	71.323643	-156.623772	0	4	0
0	"own_off_site"	2019	"R231_19"	270170840	270170839	2	1	2	0	"2019-07-09 15:41:00"	NA	"2019-07-09 15:44:00"	71.302791	-156.624757	0	4	0
0	"own_off_site"	2019	"R232_19"	270170620	273145050	2	1	2	0	"2019-07-19 17:25:00"	NA	"2019-07-19 17:28:00"	71.324997	-156.603702	0	3	0
0	NA	2019	"R233_19"	273145066	NA	1	1	0	0	"2019-07-07 09:41:07"	NA	"2019-07-07 09:41:07"	71.260631	-156.2726	NA	NA	NA
0	NA	2019	"R234_19"	273145127	NA	1	1	0	0	"2019-06-24 15:21:00"	NA	NA	71.307456	-156.642611	NA	NA	NA
0	"study_site"	2017	"R301_17"	270170256	270170253	2	1	2	1	"2017-06-22 14:48:00"	"2017-06-26 14:23:00"	"2017-07-14 13:56:00"	71.3181991577148	-156.654006958008	0	3	0
0	"study_site"	2019	"R301_19"	270170846	270170403	2	1	2	0	"2019-06-11 15:35:00"	"2019-06-12 19:33:00"	"2019-06-28 12:42:00"	71.325608	-156.633363	0	4	0
0	"study_site"	2017	"R302_17"	270170266	270170265	2	1	2	0	"2017-06-23 13:32:00"	"2017-06-26 13:50:00"	"2017-07-03 15:05:00"	71.3205032348633	-156.643997192383	0	3	0
0	"study_site"	2018	"R302_18"	270170078	270170077	2	1	2	1	"2018-06-19 16:15:00"	"2018-06-23 16:37:00"	"2018-07-10 11:06:00"	71.323343	-156.630433	0	4	0
0	"study_site"	2019	"R302_19"	270170532	270170922	2	1	2	0	"2019-06-11 16:17:00"	"2019-06-15 16:00:00"	"2019-07-02 11:56:00"	71.326254	-156.632982	0	4	0
0	"study_site"	2017	"R303_17"	270170263	270170264	1	1	1	1	"2017-06-23 14:03:00"	NA	"2017-06-28 19:30:00"	71.3190994262695	-156.643997192383	NA	NA	NA
0	"study_site"	2018	"R303_18"	270170179	270170098	2	1	2	1	"2018-06-24 14:56:00"	"2018-06-25 18:03:00"	"2018-07-09 13:41:00"	71.322247	-156.629424	0	4	0
0	"study_site"	2019	"R303_19"	273145056	270170928	2	1	2	0	"2019-06-12 18:36:00"	"2019-06-12 18:37:00"	"2019-06-21 16:00:00"	71.322616	-156.641328	0	3	0
0	"study_site"	2017	"R304_17"	270170277	17304	2	1	3	0	"2017-06-25 18:16:00"	"2017-06-25 18:16:00"	"2017-07-14 13:02:00"	71.3220977783203	-156.626998901367	0	4	0
0	"study_site"	2018	"R304_18"	270170746	270170747	2	1	2	0	"2018-06-27 13:02:00"	"2018-06-28 16:43:00"	"2018-07-10 09:50:00"	71.319406	-156.656241	0	4	0
0	"study_site"	2019	"R304_19"	270170235	273145101	2	1	2	0	"2019-06-12 19:45:00"	"2019-06-16 17:43:00"	"2019-07-01 11:01:00"	71.325934	-156.64127	0	4	0
0	"study_site"	2017	"R305_17"	270170244	270170242	2	1	2	0	"2017-07-01 15:36:00"	"2017-07-01 17:31:00"	"2017-07-17 12:09:00"	71.3162994384766	-156.651000976562	0	3	0
0	"study_site"	2019	"R305_19"	273145091	273145090	2	1	2	0	"2019-06-14 12:44:00"	"2019-06-16 13:16:00"	"2019-06-25 09:31:00"	71.321464	-156.653927	1	2	1
0	"study_site"	2019	"R306_19"	270170952	273145053	2	1	2	0	"2019-06-14 14:28:00"	"2019-06-14 14:29:00"	"2019-06-29 15:17:00"	71.323922	-156.636286	0	4	0
0	"study_site"	2019	"R307_19"	273145051	273145104	2	1	2	0	"2019-06-14 14:48:00"	"2019-06-14 14:49:00"	"2019-07-01 11:40:00"	71.322605	-156.636766	0	4	0
0	"study_site"	2019	"R308_19"	273145031	273145032	2	1	2	0	"2019-06-14 16:33:00"	"2019-06-14 16:34:00"	"2019-07-03 15:28:00"	71.324469	-156.672063	1	4	1
0	"study_site"	2019	"R309_19"	273145089	273145088	2	1	2	0	"2019-06-16 13:55:00"	"2019-06-16 13:56:00"	"2019-06-28 15:30:00"	71.320173	-156.638481	0	4	0
0	"study_site"	2019	"R310_19"	270170768	273145097	2	1	2	0	"2019-06-16 15:18:00"	"2019-06-16 15:19:00"	"2019-07-03 11:19:00"	71.312569	-156.657601	0	4	0
0	"study_site"	2019	"R311_19"	270170345	270170564	2	1	2	0	"2019-06-16 12:35:00"	"2019-06-16 12:36:00"	"2019-07-03 11:39:00"	71.324834	-156.643062	0	4	0
0	"study_site"	2019	"R312_19"	270170969	273145136	2	1	2	0	"2019-06-18 12:42:00"	"2019-06-21 14:35:00"	"2019-07-06 12:19:00"	71.315243	-156.662794	0	3	0
0	"study_site"	2019	"R313_19"	270170959	19313	2	1	3	0	"2019-06-18 12:49:00"	"2019-06-18 12:50:00"	"2019-06-22 11:50:00"	71.315903	-156.663027	0	1	0
0	"study_site"	2019	"R314_19"	270170837	273145069	2	1	2	0	"2019-06-18 13:35:00"	"2019-06-19 17:44:00"	"2019-07-06 17:50:00"	71.322143	-156.636502	0	4	0
0	"study_site"	2019	"R315_19"	273145223	19315	2	1	3	0	"2019-06-18 13:57:00"	"2019-06-19 18:06:00"	"2019-07-05 10:49:00"	71.32243	-156.628851	1	4	1
0	"study_site"	2019	"R316_19"	273145201	273145100	2	1	2	0	"2019-06-19 12:27:00"	"2019-06-19 17:58:00"	"2019-07-05 10:35:00"	71.322443	-156.632571	0	4	0
0	"own_off_site"	2019	"R317_19"	273145114	270170926	2	1	2	0	"2019-06-19 16:13:00"	"2019-06-19 16:14:00"	"2019-06-28 14:57:00"	71.31708	-156.633959	0	3	0
0	"own_off_site"	2019	"R318_19"	270170169	270170816	2	1	2	0	"2019-07-01 13:15:00"	NA	"2019-07-01 13:16:01"	71.319383	-156.604013	0	3	0
0	NA	2019	"R319_19"	273145056	NA	1	1	0	0	"2019-07-01 13:45:00"	NA	"2019-07-01 13:49:00"	71.311228	-156.608924	NA	NA	NA
0	"own_off_site"	2019	"R320_19"	270170938	270170935	2	1	2	0	"2019-07-07 12:03:00"	"2019-07-07 12:05:00"	"2019-07-07 12:07:00"	71.317204	-156.618646	0	4	0
0	"own_off_site"	2019	"R321_19"	270170835	270170836	2	1	2	0	"2019-07-07 13:18:00"	NA	"2019-07-07 13:24:00"	71.316231	-156.582052	0	4	0
0	NA	2019	"R322_19"	273145042	NA	1	1	0	0	"2019-07-09 18:19:00"	NA	"2019-07-11 15:00:01"	71.299432	-156.639829	NA	NA	NA
0	NA	2019	"R323_19"	193231	19323	3	0	3	0	"2019-07-09 18:44:00"	"2019-07-10 17:10:00"	"2019-07-10 17:14:00"	71.297775	-156.647838	NA	NA	NA
0	"study_site"	2019	"R324_19"	273145369	270170083	2	1	2	0	"2019-07-11 14:55:00"	NA	"2019-07-11 15:04:00"	71.322515	-156.627635	0	1	0
0	"own_off_site"	2019	"R325_19"	273145106	19325	2	1	3	0	"2019-07-12 18:38:00"	NA	"2019-07-12 18:38:03"	71.293199	-156.634386	0	3	0
0	"study_site"	2017	"R401_17"	270170349	270170156	2	1	2	1	"2017-06-22 11:30:00"	"2017-06-24 20:00:00"	"2017-06-30 01:10:00"	71.3223037719727	-156.64599609375	0	4	0
0	"study_site"	2018	"R401_18"	270170622	270170090	2	1	2	1	"2018-06-23 11:35:00"	"2018-06-26 13:55:00"	"2018-07-12 15:50:00"	71.321557	-156.630462	0	4	0
0	"study_site"	2019	"R401_19"	273145045	273145046	1	1	1	1	"2019-06-08 17:01:00"	NA	"2019-06-12 14:17:00"	71.325522	-156.638802	NA	NA	NA
0	"study_site"	2017	"R402_17"	270170171	270170163	2	1	2	0	"2017-06-22 13:23:00"	"2017-06-25 19:20:00"	"2017-07-15 16:52:00"	71.3203964233398	-156.632995605469	0	4	0
0	"study_site"	2019	"R402_19"	270170756	270170962	2	1	2	0	"2019-06-15 14:03:00"	"2019-06-15 18:19:00"	"2019-06-28 12:52:00"	71.315121	-156.660108	0	4	0
0	"study_site"	2017	"R403_17"	270170347	270170130	2	1	2	1	"2017-06-22 16:20:00"	"2017-06-27 16:30:00"	"2017-07-05 10:30:00"	71.3197021484375	-156.639999389648	0	3	0
0	"study_site"	2019	"R403_19"	270170983	19403	2	1	3	0	"2019-06-16 12:06:00"	"2019-06-16 14:11:00"	"2019-06-19 17:48:02"	71.320517	-156.635275	0	4	0
0	"study_site"	2017	"R404_17"	270170162	270170168	2	1	2	0	"2017-06-23 12:52:00"	"2017-06-23 15:23:00"	"2017-07-14 13:15:00"	71.321403503418	-156.630004882812	0	4	0
0	"study_site"	2019	"R404_19"	270170829	270170828	2	1	2	0	"2019-06-18 09:28:00"	"2019-06-18 13:31:00"	"2019-07-01 17:34:00"	71.323586	-156.678102	0	4	0
0	"study_site"	2017	"R405_17"	270170343	270170127	2	1	2	1	"2017-06-24 15:16:00"	"2017-06-27 15:49:00"	"2017-07-05 10:14:00"	71.3255004882812	-156.638000488281	0	3	0
0	"study_site"	2019	"R405_19"	273145103	270170935	2	1	2	0	"2019-06-18 10:42:00"	"2019-06-18 12:03:00"	"2019-07-01 10:30:01"	71.321769	-156.676133	0	4	0
0	"study_site"	2017	"R406_17"	270170161	270170160	2	1	2	1	"2017-06-26 11:28:00"	"2017-06-28 01:25:00"	"2017-07-09 16:32:00"	71.3221969604492	-156.649002075195	0	3	0
0	"study_site"	2019	"R406_19"	270170938	270170935	2	1	2	0	"2019-06-18 13:40:00"	"2019-06-21 15:38:00"	"2019-06-29 13:44:00"	71.322383	-156.671423	0	4	0
0	"study_site"	2017	"R407_17"	270170254	270170250	2	1	2	0	"2017-06-27 11:56:00"	"2017-06-27 13:09:00"	"2017-07-03 01:40:00"	71.315803527832	-156.656997680664	0	4	0
0	"study_site"	2019	"R407_19"	273145095	273145094	2	1	2	0	"2019-06-18 14:08:00"	"2019-06-20 14:19:00"	"2019-06-28 12:31:00"	71.322049	-156.672837	0	2	0
0	"study_site"	2019	"R408_19"	270170988	270170936	2	1	2	0	"2019-06-18 16:36:00"	"2019-06-18 16:55:00"	"2019-06-25 17:46:00"	71.320935	-156.666402	0	4	0
0	"study_site"	2019	"R409_19"	270170831	19409	2	1	3	0	"2019-06-19 10:22:00"	"2019-06-20 14:06:00"	"2019-07-01 10:21:00"	71.32017	-156.672448	1	4	2
0	"study_site"	2019	"R410_19"	270170705	270170933	2	1	2	0	"2019-06-19 13:28:00"	"2019-06-19 13:59:00"	"2019-06-30 09:54:00"	71.318814	-156.661688	0	4	0
0	"study_site"	2019	"R411_19"	270170975	270170974	2	1	2	0	"2019-06-21 10:11:00"	"2019-06-22 13:45:00"	"2019-07-03 14:45:00"	71.319376	-156.657385	0	4	0
0	"study_site"	2019	"R412_19"	270170347	273145225	2	1	2	1	"2019-06-22 11:42:00"	"2019-06-25 15:10:00"	"2019-06-30 10:22:00"	71.320041	-156.641473	0	3	0
0	"study_site"	2019	"R413_19"	273145238	273145237	2	1	2	1	"2019-06-23 14:22:00"	"2019-06-25 16:02:00"	"2019-07-06 17:14:00"	71.323332	-156.629647	0	4	0
0	"study_site"	2017	"R501_17"	270170350	270170237	2	1	2	0	"2017-06-20 11:29:54"	"2017-06-23 17:47:00"	"2017-07-13 20:29:00"	71.3211975097656	-156.664993286133	0	4	0
0	"study_site"	2018	"R501_18"	270170148	270170706	2	1	2	1	"2018-06-22 13:09:00"	"2018-06-24 16:43:00"	"2018-07-11 14:57:00"	71.324445	-156.645426	0	4	0
0	"study_site"	2019	"R501_19"	270170924	NA	1	1	0	0	"2019-06-11 16:00:00"	NA	"2019-06-12 12:40:00"	71.32195	-156.63284	NA	NA	NA
0	"study_site"	2018	"R502_18"	270170094	270170095	2	1	2	1	"2018-06-23 14:00:00"	"2018-06-26 17:01:00"	"2018-07-11 15:12:00"	71.32181	-156.650512	0	4	0
0	"study_site"	2019	"R502_19"	273145126	270170942	2	1	2	0	"2019-06-11 18:55:00"	"2019-06-12 20:26:00"	"2019-06-14 16:54:00"	71.32357	-156.66251	0	2	0
0	"study_site"	2019	"R503_19"	270170832	273145063	2	1	2	0	"2019-06-16 11:05:00"	"2019-06-18 13:19:00"	"2019-06-25 13:54:00"	71.323106	-156.676715	0	4	0
0	"study_site"	2019	"R504_19"	270170847	270170848	2	1	2	0	"2019-06-20 16:10:00"	"2019-06-21 14:47:00"	"2019-07-08 16:22:00"	71.319764	-156.664566	0	4	0
0	"study_site"	2019	"R505_19"	270170863	270170999	2	1	2	0	"2019-06-26 17:52:00"	"2019-06-27 11:31:00"	"2019-07-05 23:20:00"	71.315501	-156.660425	0	4	0
0	"study_site"	2018	"R601_18"	270170568	18601	2	1	3	0	"2018-06-22 14:42:00"	"2018-06-22 16:04:00"	"2018-07-10 10:50:00"	71.326389	-156.63267	0	4	0
0	"study_site"	2019	"R601_19"	270170903	270170902	2	1	2	0	"2019-06-11 15:32:00"	"2019-06-12 12:42:00"	"2019-06-30 11:17:00"	71.32272	-156.634482	0	4	0
0	"own_off_site"	2018	"R602_18"	270170743	270170068	2	1	2	0	"2018-06-25 12:00:00"	"2018-06-27 10:37:00"	"2018-07-11 11:53:00"	71.278715	-156.644322	0	4	0
0	"study_site"	2019	"R602_19"	273145141	273145087	2	1	2	1	"2019-06-12 10:36:00"	"2019-06-18 15:52:00"	"2019-07-01 11:10:00"	71.319289	-156.647664	0	3	0
0	NA	2018	"R603_18"	NA	NA	0	0	0	0	"2018-06-25 12:15:00"	NA	"2018-07-17 11:33:00"	71.278752	-156.64502	NA	NA	NA
0	"study_site"	2019	"R603_19"	273145077	273145076	2	1	2	0	"2019-06-13 14:28:00"	"2019-06-16 13:38:00"	"2019-06-28 12:27:01"	71.322288	-156.662423	0	4	0
0	"study_site"	2018	"R604_18"	270170705	270170713	2	1	2	0	"2018-06-26 13:55:00"	"2018-06-26 16:48:00"	"2018-07-14 12:25:00"	71.31485	-156.66356	0	4	0
0	"study_site"	2019	"R604_19"	273145073	273145074	2	1	2	0	"2019-06-13 16:54:00"	"2019-06-17 16:08:00"	"2019-07-02 10:10:00"	71.321348	-156.65029	0	4	0
0	"study_site"	2018	"R605_18"	18605	270170574	3	0	1	1	"2018-06-28 16:50:00"	"2018-07-01 12:56:00"	"2018-07-04 10:07:00"	71.319005	-156.640526	NA	NA	NA
0	"study_site"	2019	"R605_19"	273145062	270170905	2	1	2	1	"2019-06-16 13:55:00"	"2019-06-19 18:30:00"	"2019-07-06 17:36:00"	71.326473	-156.64114	0	3	0
0	"study_site"	2018	"R606_18"	270170770	270170769	2	1	2	0	"2018-06-29 12:50:00"	"2018-06-29 15:26:00"	"2018-07-17 12:06:00"	71.313437	-156.655311	1	4	1
0	"study_site"	2019	"R606_19"	273145222	19222	2	1	3	0	"2019-06-18 12:15:00"	"2019-06-18 15:49:00"	"2019-06-28 13:27:02"	71.328435	-156.641415	0	4	0
0	"study_site"	2018	"R607_18"	270170067	270170767	2	1	2	0	"2018-06-29 13:21:00"	"2018-06-29 15:09:00"	"2018-07-14 12:15:00"	71.313838	-156.661806	0	4	0
0	"study_site"	2019	"R607_19"	273145150	270170984	2	1	2	1	"2019-06-18 16:38:00"	"2019-06-20 16:50:00"	"2019-07-05 22:41:00"	71.317305	-156.646779	0	4	0
0	"study_site"	2018	"R608_18"	270170627	270170626	2	1	2	0	"2018-07-01 11:55:00"	"2018-07-03 11:30:00"	"2018-07-12 10:42:00"	71.322283	-156.647857	0	1	0
0	"study_site"	2019	"R608_19"	270170982	270170979	2	1	2	0	"2019-06-20 09:35:00"	"2019-06-20 12:29:00"	"2019-07-05 15:13:00"	71.315959	-156.657501	0	4	0
0	"study_site"	2019	"R609_19"	273145215	273145214	2	1	2	0	"2019-06-20 15:41:00"	"2019-06-21 14:15:00"	"2019-07-04 10:08:00"	71.313688	-156.660373	0	4	0
0	"study_site"	2019	"R610_19"	273145234	273145233	2	1	2	0	"2019-06-21 14:33:00"	"2019-06-21 17:39:00"	"2019-06-28 13:20:00"	71.328567	-156.641535	1	4	1
0	"study_site"	2019	"R611_19"	270170941	270170940	2	1	2	1	"2019-06-23 11:08:00"	"2019-06-26 10:38:00"	"2019-07-11 10:09:00"	71.325708	-156.644991	0	3	0
